ZipCode,GeoID_Label,Households_Estimate,MHI_Estimate
11451,ZCTA5 11451,0,-
11501,ZCTA5 11501,7543,90007
11507,ZCTA5 11507,2325,118807
11509,ZCTA5 11509,882,140714
11510,ZCTA5 11510,10712,102810
11514,ZCTA5 11514,1672,88455
11516,ZCTA5 11516,2192,98696
11518,ZCTA5 11518,3891,92682
11520,ZCTA5 11520,13759,71423
11530,ZCTA5 11530,9321,151809
11542,ZCTA5 11542,9742,75685
11545,ZCTA5 11545,4369,149174
11547,ZCTA5 11547,254,96250
11548,ZCTA5 11548,522,123056
11549,ZCTA5 11549,0,-
11550,ZCTA5 11550,16355,59580
11552,ZCTA5 11552,7285,108628
11553,ZCTA5 11553,6285,69914
11554,ZCTA5 11554,12196,94513
11556,ZCTA5 11556,0,-
11557,ZCTA5 11557,2643,116754
11558,ZCTA5 11558,2919,89715
11559,ZCTA5 11559,2677,106597
11560,ZCTA5 11560,2260,116875
11561,ZCTA5 11561,16131,89050
11563,ZCTA5 11563,8006,91042
11565,ZCTA5 11565,3233,108656
11566,ZCTA5 11566,11225,142862
11568,ZCTA5 11568,1044,175833
11569,ZCTA5 11569,475,130547
11570,ZCTA5 11570,10100,107111
11572,ZCTA5 11572,10222,109944
11575,ZCTA5 11575,4293,79232
11576,ZCTA5 11576,4662,158125
11577,ZCTA5 11577,4298,126830
11579,ZCTA5 11579,1961,115822
11580,ZCTA5 11580,13242,103475
11581,ZCTA5 11581,6838,104795
11590,ZCTA5 11590,14156,101095
11596,ZCTA5 11596,3604,116250
11598,ZCTA5 11598,3896,140573
11691,ZCTA5 11691,20155,42434
11692,ZCTA5 11692,6417,45816
11693,ZCTA5 11693,4767,57443
11694,ZCTA5 11694,8319,77547
11697,ZCTA5 11697,1398,99792
11701,ZCTA5 11701,8463,80563
11702,ZCTA5 11702,4963,118708
11703,ZCTA5 11703,5429,94407
11704,ZCTA5 11704,12647,84448
11705,ZCTA5 11705,2696,106474
11706,ZCTA5 11706,18712,84405
11709,ZCTA5 11709,2472,102722
11710,ZCTA5 11710,11474,122627
11713,ZCTA5 11713,3211,72569
11714,ZCTA5 11714,7673,105011
11715,ZCTA5 11715,1581,117313
11716,ZCTA5 11716,3632,83000
11717,ZCTA5 11717,13587,74202
11718,ZCTA5 11718,1116,123152
11719,ZCTA5 11719,1124,82083
11720,ZCTA5 11720,8816,97682
11721,ZCTA5 11721,2264,123333
11722,ZCTA5 11722,9468,68588
11724,ZCTA5 11724,1049,207656
11725,ZCTA5 11725,9903,119503
11726,ZCTA5 11726,5835,71418
11727,ZCTA5 11727,10910,79302
11729,ZCTA5 11729,8939,86124
11730,ZCTA5 11730,4361,119826
11731,ZCTA5 11731,10136,106854
11732,ZCTA5 11732,1422,111000
11733,ZCTA5 11733,5613,147330
11735,ZCTA5 11735,11414,102500
11738,ZCTA5 11738,5183,97583
11739,ZCTA5 11739,321,135781
11740,ZCTA5 11740,3175,102455
11741,ZCTA5 11741,9024,99308
11742,ZCTA5 11742,4554,94595
11743,ZCTA5 11743,15132,119133
11746,ZCTA5 11746,20740,107221
11747,ZCTA5 11747,7070,119876
11749,ZCTA5 11749,982,90966
11751,ZCTA5 11751,5067,95975
11752,ZCTA5 11752,2954,94593
11753,ZCTA5 11753,4253,166272
11754,ZCTA5 11754,6613,100822
11755,ZCTA5 11755,4167,103574
11756,ZCTA5 11756,13479,108999
11757,ZCTA5 11757,14550,84727
11758,ZCTA5 11758,18449,111189
11762,ZCTA5 11762,7358,124220
11763,ZCTA5 11763,9316,82543
11764,ZCTA5 11764,4187,120063
11765,ZCTA5 11765,247,206250
11766,ZCTA5 11766,4207,112953
11767,ZCTA5 11767,4996,120230
11768,ZCTA5 11768,7959,122080
11769,ZCTA5 11769,3367,89673
11770,ZCTA5 11770,23,98750
11771,ZCTA5 11771,3649,122589
11772,ZCTA5 11772,17022,70618
11776,ZCTA5 11776,7899,97068
11777,ZCTA5 11777,3421,106840
11778,ZCTA5 11778,4165,93677
11779,ZCTA5 11779,12660,91486
11780,ZCTA5 11780,5410,114423
11782,ZCTA5 11782,5290,108679
11783,ZCTA5 11783,6960,124861
11784,ZCTA5 11784,7981,87379
11786,ZCTA5 11786,1938,126625
11787,ZCTA5 11787,12006,122917
11788,ZCTA5 11788,5548,108074
11789,ZCTA5 11789,2863,81761
11790,ZCTA5 11790,4529,135197
11791,ZCTA5 11791,8275,163801
11792,ZCTA5 11792,2944,125000
11793,ZCTA5 11793,10385,126875
11794,ZCTA5 11794,0,-
11795,ZCTA5 11795,7941,111581
11796,ZCTA5 11796,1216,92500
11797,ZCTA5 11797,3022,166949
11798,ZCTA5 11798,3709,75350
11801,ZCTA5 11801,12516,100245
11803,ZCTA5 11803,9632,134375
11804,ZCTA5 11804,1703,112153
11901,ZCTA5 11901,10047,59624
11930,ZCTA5 11930,445,94185
11931,ZCTA5 11931,19,-
11932,ZCTA5 11932,440,82188
11933,ZCTA5 11933,2970,57933
11934,ZCTA5 11934,2512,100691
11935,ZCTA5 11935,1257,94228
11937,ZCTA5 11937,6488,94612
11939,ZCTA5 11939,431,72566
11940,ZCTA5 11940,1848,102197
11941,ZCTA5 11941,762,106563
11942,ZCTA5 11942,1804,82446
11944,ZCTA5 11944,1726,59254
11946,ZCTA5 11946,5533,78284
11947,ZCTA5 11947,138,-
11948,ZCTA5 11948,386,84631
11949,ZCTA5 11949,4873,103542
11950,ZCTA5 11950,4674,75093
11951,ZCTA5 11951,4803,66493
11952,ZCTA5 11952,1987,81380
11953,ZCTA5 11953,5201,72635
11954,ZCTA5 11954,1528,87717
11955,ZCTA5 11955,1750,62256
11956,ZCTA5 11956,127,66477
11957,ZCTA5 11957,331,71125
11958,ZCTA5 11958,256,87750
11959,ZCTA5 11959,398,92750
11960,ZCTA5 11960,301,84375
11961,ZCTA5 11961,5392,61932
11962,ZCTA5 11962,123,118250
11963,ZCTA5 11963,2662,90833
11964,ZCTA5 11964,859,81352
11965,ZCTA5 11965,336,119583
11967,ZCTA5 11967,7916,82378
11968,ZCTA5 11968,4469,82809
11970,ZCTA5 11970,89,-
11971,ZCTA5 11971,2673,81654
11972,ZCTA5 11972,457,86083
11973,ZCTA5 11973,0,-
11975,ZCTA5 11975,111,71875
11976,ZCTA5 11976,889,115875
11977,ZCTA5 11977,817,106354
11978,ZCTA5 11978,1228,84516
11980,ZCTA5 11980,1780,96574
12007,ZCTA5 12007,0,-
12008,ZCTA5 12008,161,103472
12009,ZCTA5 12009,2953,93975
12010,ZCTA5 12010,11641,49553
12015,ZCTA5 12015,1040,58684
12017,ZCTA5 12017,167,75809
12018,ZCTA5 12018,2825,91075
12019,ZCTA5 12019,5864,98600
12020,ZCTA5 12020,13235,77157
12022,ZCTA5 12022,418,50833
12023,ZCTA5 12023,777,68807
12024,ZCTA5 12024,0,-
12025,ZCTA5 12025,2248,66548
12027,ZCTA5 12027,1466,92159
12028,ZCTA5 12028,317,69338
12029,ZCTA5 12029,400,84342
12031,ZCTA5 12031,84,43125
12032,ZCTA5 12032,382,47738
12033,ZCTA5 12033,3126,73521
12035,ZCTA5 12035,286,35921
12036,ZCTA5 12036,111,41696
12037,ZCTA5 12037,1852,63182
12040,ZCTA5 12040,63,40809
12041,ZCTA5 12041,243,87566
12042,ZCTA5 12042,118,44583
12043,ZCTA5 12043,3026,48778
12045,ZCTA5 12045,196,51389
12046,ZCTA5 12046,390,82692
12047,ZCTA5 12047,8978,53977
12051,ZCTA5 12051,1405,64777
12052,ZCTA5 12052,716,66579
12053,ZCTA5 12053,1509,85721
12054,ZCTA5 12054,6883,100677
12056,ZCTA5 12056,689,84150
12057,ZCTA5 12057,867,60625
12058,ZCTA5 12058,591,82768
12059,ZCTA5 12059,646,84091
12060,ZCTA5 12060,636,71500
12061,ZCTA5 12061,3629,82378
12062,ZCTA5 12062,646,72500
12063,ZCTA5 12063,138,81607
12064,ZCTA5 12064,204,44545
